f8e2 ed30 fd89
cb9b d228 40a 
1a21 f028 1761
2b7  168  ee4e
dfe4 f6b0 fc0f
dba  2430 e65c
d690 e4e0 f3fd
de3e c950 339e
35c7 1df8 a0b 
2e6  eaf0 49  
d2eb d548 476 
da15 c688 3911
344c 2e80 fcdd
d1b7 da88 fa25
9d0  1a80 da56
d275 d5c8 ffb0
df00 f270 249d
cda0 f1f0 f1de
ed11 f378 e962
2820 25e0 ebe0
eaf3 fae8 1b39
955  15e8 381 
e27b d388 1d71
2705 13d8 fec1
2fbc 21e0 ec7d
501  21b8 d3af
1f37 fc08 d9  
fe61 e5c8 56e 
f99a eae0 ad7 
1b9c 440  814 
2d2d 2018 fa42
ecbb df68 fed8
2471 1b68 dd8e
3f4  f200 f79b
ea6d 788  e15e
35a7 26a8 ed  
b88  f5e0 c1c 
2177 b8   ac3 
e9c6 d9f0 1276
2264 560  fcb9
136  1750 eb5c
d0aa dba0 fc98
ed39 e5a8 998 
254b 1058 92e 
9d   10c8 515 
1710 940  15f0
f9d1 38   f76f
f177 d2d8 338f
ee32 e9d0 f67e
80   840  f08c
eab6 e190 bb1 
e774 dc90 1fd5
df7a dd20 dd9 
19ac 2660 dc4e
ce11 e638 602 
d689 f788 f7ff
f8ff f6c8 1b70
e647 da38 10a7
f9d0 f3e0 1a56
d292 180  efc1
260  f1d0 f61f
11af c08  dcc 
15fb ff58 ecf1
bd6  200  250 
db33 df48 1fab
c1e  1020 f29 
dce9 f358 b50 
1b45 6b8  fd9 
1ea5 528  fdc 
c54  f00  f43e
e1e5 e008 10a5
fe83 ee38 f1d3
dfbc f280 1e09
37c6 20d0 8cf 
f53d fb18 bba 
301e 3560 df78
b40  1bd0 ec63
f3f7 938  5ad 
2503 1d38 e8b2
f188 ed40 f2b8
8b1  658  1aba
1f04 29a0 f4a1
b17  798  e1e8
cf3f c7b8 20fa
323b e28  abb 
e08b e128 2280
dd55 f958 6c9 
ec81 ff68 1d93
ed04 fcd0 eb43
2a76 2920 f2d9
33c8 3870 e1dd
db89 dea8 13e8
2b10 2180 fd1e
e60a fd70 e98a
f1b7 e0a8 157c
66a  f0e0 1fa9
1c69 1878 cbd 
1a4a 6c0  fe94
fd0e 900  b26 
e42  f440 17bf
d015 e2d8 db4 
f858 f690 f554
124  f2a0 1fb2
1e6e 1790 e0bf
1c6e 590  e767
22cb 2278 dc  
230e 2f40 de37
2bde d30  203 
2333 d78  92  
df59 d528 fab 
f62  ffb0 f2d 
d48c ebd0 704 
da2c e3c0 2cce
2e6a 2910 f993
36d2 2790 6b  
1f24 2870 e22b
d20c d730 871 
5f0  1250 ef4b
3    f9b8 ebc 
6c1  f128 f33b
1f7b 198  1082
129  1e88 da81
cde6 f800 ecd7
147a 1300 f245
f89a fb40 1b0e
2cc0 2830 e84c
dd4f f3a8 11e0
d67c d4e0 16ed
512  f230 10b4
321f 1858 b7f 
cec  1f80 d333
32a5 1e18 1c9 
db08 d450 606 
227c 1730 efcb
e4dc ef90 ed00
eb4e 950  e4cd
f394 650  d90 
fce8 910  aa6 
1594 2570 d369
29d6 13c0 705 
d2e6 da50 d2c 
f28b f1e8 e9ba
d6bb f8b8 78c 
8d9  f928 38b 
21be 1d70 e4bc
bc2  1080 ea32
1d65 25e8 f6f8
98d  e328 2205
fb4  20c0 d510
1eb7 f5a8 968 
26ef 1658 b10 
f53d 708  ed1b
e761 e9a8 fcd3
22f2 13c0 f218
d162 fbc0 e830
de39 948  f5a0
dda  6c0  6ae 
ff26 4f0  572 
df6e e2c0 1a9d
383  12a8 f365
cad  1e98 f420
1ca7 fa8  510 
1a13 f8c8 116a
749  1768 e3e8
174a 1ca0 d996
35af 11b8 fcb 
272c 7a0  158 
747  28   e20e
f7d1 798  afa 
e77f fdf8 1859
ebb7 fcb8 f7e9
fbd6 1a10 edd2
b14  ed80 151f
2b12 bb0  12a7
e10a b80  e81d
2bd8 1d40 cc5 
2b6b 3a8  19c3
211b b78  da32
17db a18  eff3
d66e f1f0 eda2
f6f6 e910 1e2a
1b25 868  5ec 
72f  988  27b 
d102 d7a0 4f1 
941  ffd8 fa5d
19d4 1c0  f37b
2ffa 27b0 feae
de41 e788 f13c
160c 290  f417
f75  1458 5ba 
887  21d8 e84f
24d5 fce8 b59 
539  fde8 1831
f305 d828 25a6
11d  118  f0bb
d9fc e820 1dc6
f7cd e548 248 
206f ff18 eeb9
3913 2608 3dd 
2e82 1c20 e12 
f480 430  1b3f
b77  2258 e7a0
2193 15f8 f351
1f75 2c78 e07f
e83b ff8  dd16
d2c3 efe8 f782
287f 5e8  52f 
f189 fc08 eead
23fe 1700 fd02
f29c db0  e06 
eed7 ed58 15ff
cfc  fac0 f8a3
e13f d28  ed94
d3c  efb0 ef  
1946 f750 1774
5c2  5c0  e3df
e5fb e5e8 f269
112d fa48 363 
7ad  1b8  191e
15e2 f180 89d 
faf0 ae0  f486
2cef 2018 fa84
3711 2028 b55 
fe35 188  e4f1
d88f dfc8 1d37
decd ddd8 f504
f379 ff28 1638
f5bb 4c8  fc90
4dd  eec8 f720
132b 10b8 f1fd
3281 2018 f496
2410 23d0 5ea 
d1b1 e468 f3d5
1532 890  2e7 
27fd 2c08 cc9b
2cae 4a0  187f
f90d f238 1fbd
ab1  1478 ed39
1da9 17a8 f290
df47 e638 31a 
fa17 e5a8 1aba
d95e fb20 f60 
f9d2 ebe0 a5b 
e0be f030 9a2 
15b  f0c8 4a2 
dce7 938  e846
f3ae e6f0 2b2f
d58e d9d0 1f06
e2bb fb78 97f 
dd1d cff8 318a
da89 eaa8 19a9
1a75 16b8 eb4a
933  1b48 f198
30bf 2198 2ed 
1b20 2f40 d4ac
1b6f fb18 ed58
d912 e160 1de0
f07b ed28 6cf 
e8b7 dc68 22b4
ed4a eda0 19d3
d338 e850 be1 
c4ef c858 91d 
e111 ce18 31a8
eace d800 13c7
d190 d790 794 
e68  330  e117
f9dd e578 340 
ebb4 f8d0 1be9
4f5  2238 d8bf
26ea 1ed0 f9dc
d163 d418 1a4d
dc55 e078 f64 
f160 ec20 fc29
ee96 e0c0 17d4
2582 23e0 ef2a
32ac 2960 ec9d
b29  fe28 788 
e53b d318 2e89
2036 9b0  1702
eeb5 df78 15c6
232  1ed0 de26
24e0 fd30 f8ed
cf8e cd90 1e37
d4f0 370  f287
f91  1d68 f346
1b3a b80  e7d5
d88f fb48 ed31
f912 130  295 
d870 d670 113e
15ef 2358 d9a9
dbe3 fcc8 f61e
30ed 38b8 da3c
245e eb0  c30 
53d  f938 1101
f78d b48  f3da
195b 818  eedb
ef5c b70  534 
f593 548  e57b
616  f260 155b
196a b20  16d1
e125 e508 1d08
36cd 1618 c38 
8c1  1018 e4d3
ebff fc18 5e6 
f89a 5d0  e6f1
104a b90  f14 
e369 718  ff6d
f2e9 f9f8 1f30
b67  f5c8 f0f9
26bf 2418 d98f
eb61 f318 f444
115b ff38 f5c0
e311 4b8  e85 
4f5  5c8  e465
dc1a e010 2354
21dc 27f0 e1f8
e70  1950 fe2d
2ad2 30c0 dfd9
182f fa38 fa04
149  e798 8f2 
cae1 f258 eb60
23a1 fd68 f7f3
12bc f650 78b 
f95a 17f0 efb7
d59  ee58 4af 
b7b  1db8 d2ef
ebbb fbb8 f070
f9a3 ee48 1a53
ec1  be8  14cd
e82  fa50 fb9f
e610 d5e0 1aa5
287a fac0 70c 
1df0 f6d0 1ce4
e0c7 f8   27c 
e899 fb68 f710
de2  2020 e2b8
f102 f4a0 1bd0
fa8e 150  4d3 
e0e3 f038 f207
1ab  ea18 557 
31e6 2ea0 fb88
e6b3 f438 f7ae
d84a d1b0 152a
f97e f700 f735
f9ec 910  1065
ee4  560  e5ce
d915 e288 1e89
da97 fa38 ee82
1715 fdb8 f008
d790 f4c0 c7a 
f6ac da0  e140
d549 e668 f736
eafc fd10 fa35
1afa f950 fb72
db5c ca30 300b
2b17 3908 d573
24a9 918  fc43
2422 3190 e38d
fc73 ffe8 1952
f128 1250 e404
d162 d3b0 1e95
2513 e48  4c  
e0ff 508  e977
f4fb af8  f74f
5c1  8a8  e93f
dba8 f7a0 f9  
ed41 f858 f0f3
fd59 668  f031
f438 e8c0 1787
20e8 2870 d603
f080 e40  dc1a
e07d e5e8 f5b0
fd5a 6c0  f96a
3044 19e0 27d 
110c f680 e889
2900 780  fe25
15a8 edd0 188e
ee73 e018 1ee2
d2b3 cfb8 22ff
de   bc0  f46a
f0f4 d7f0 2795
ce8c d2f0 1a15
ebb1 e888 1dc5
2525 2ab8 ea4c
fd95 ff08 e8ce
fda  fdd0 628 
2eb  1b18 e090
11be f740 15da
d4ad e7e8 1650
cab4 d0a0 323 
5e8  1160 fbc4
e15f 58   5dd 
1aa8 1bf0 3c7 
1195 1e18 f94e
da7a f870 10cc
9bd  448  f6ce
ebf0 b70  ea04
1254 2200 dc3b
db01 f3d8 fc9 
eb8a f5d0 248c
f5f4 e8f0 13b5
e612 ef30 ed17
2b26 920  c26 
dc10 df40 d18 
dfee d960 fc53
fe53 16b8 e2b3
2d89 2cc8 fc77
fbcc e7b0 fbd1
2055 1a98 f9e6
2aa  eb00 fabd
f431 e488 2001
d022 f2a0 ff15
ebd7 e3d8 fa2e
988  870  3ca 
e2b1 e938 b8f 
fa89 e588 eb9 
14   da0  58  
2c5a 2a10 e6f7
a0c  1750 5ec 
e193 1c8  e719
d6a3 da08 eb9 
61c  17d0 ffb6
1056 14b0 12c 
e7f1 e858 264e
f523 f468 299 
2674 2e90 d78f
948  f9b0 fd7d
e75c da40 28dd
2f1c 1dd0 35f 
fe67 20b8 d5d3
e4e8 dd10 2a20
30cb 1258 ff01
27ee 2210 e5fa
f20  1cd0 ff22
ee86 f3d0 f10f
121a 2b50 d6eb
1b19 31b8 d1d5
ec59 e268 8c6 
ed7d 1a58 d62a
18e0 f9c0 ec3b
1e1a 1730 dd56
efa0 eb30 f357
fbab f108 59  
ef7f f188 2e7 
254a 2bd0 dc0f
e14b d1b8 2f38
d649 d858 20dd
e1c5 f4c8 1d8b
fea2 edd0 21a6
934  14a0 fa02
11b3 ff38 9f0 
1e09 f4c8 67f 
2857 1de8 1e2 
1a6a bd0  efaf
de87 998  ef71
cd02 d780 f888
d7f1 eb28 f5c2
e2d0 520  fb19
e15f d698 1aa4
d48b ce98 1853
cc72 eda0 f9fd
32c5 2cb8 f78d
ee43 eda8 15e4
6e4  1bd0 f107
f5cb f0c8 fef5
fa6  1180 c57 
1978 2440 f053
2772 2c00 e9c6
a5b  10c8 e105
256b 6e8  150e
ddd8 f7b0 f8d9
11e  1520 d962
349  8a8  d46 
1f45 f08  b6d 
ed00 f710 b8e 
1e87 f7c8 2a6 
d925 ffb8 fe14
df5a cc30 2ddc
d975 d068 f6d 
5e4  1ab0 d766
d52b ca58 2d48
148a fe30 4ed 
d4dd cd58 348f
f0c8 60   e5b7
ea28 ef20 270f
2717 258  1a34
fbc1 1118 6f7 
bea  6d0  fb3d
1051 f4f8 f1ba
ca52 d050 bf9 
d094 d600 c3b 
27c0 26d0 dd44
c4f  fef8 808 
e805 dfe8 1adb
1004 1a00 e346
eef6 ee0  f0da
2be  fed0 c27 
11aa d40  e228
2449 2a78 edd8
f2ef e098 2966
f36d 658  ff7 
3390 d90  1222
3294 1fa0 3b8 
f27f d48  f629
1f34 290  bbe 
1f18 1c20 d3f9
8af  378  30d 
781  918  e74 
138c e770 27f7
1bc3 d78  fe36
2782 1f40 69b 
e487 e628 d96 
23de 1d10 fd8b
d5e2 ef00 fdba
a58  f720 55a 
ef27 e938 1a8e
833  918  eee2
cb9c e8c0 f08b
dca8 0    e565
49e  f4e0 18dc
e9fd 4f8  c3a 
d32  ee40 2218
1ddd f9d8 119c
2655 1468 fc22
efe5 388  acc 
1119 1478 2aa 
e957 e088 fe51
c428 cc90 410 
f792 f4e0 f5ef
2ef4 3890 db69
2d4c e0   95e 
ecc7 1358 e587
dcc6 d7e0 fd7e
18ec 28e0 d756
25b4 7a0  f37e
2fc4 1270 1ae 
fa11 ffb8 1b43
1334 21e0 e976
497  ed18 69d 
fc1  edc8 1c99
cd81 c898 2677
df4d ecc8 29e4
ad4  fcc0 f027
e409 238  fc22
e36e e570 2ae0
3d0  10   6c  
2493 448  fba3
f75c f920 ead0
dbc8 dce0 a23 
20ed 1e78 ecbb
f223 fc18 480 
b04  1b80 e838
d418 dc70 f38 
e3d2 d650 2022
db6e f710 eae0
1219 1638 e4e6
1ece 2520 d496
21ba fcd0 fda8
e16c faa0 1134
f7b3 fa38 fdc4
2346 260  1ad 
e8e9 ca8  fcab
e3c  f440 a6  
c5f  1458 f707
242d 1268 e7cf
dcc8 eba0 26c3
e3d3 748  e0c0
f566 180  ec14
ecb6 d0b0 35a1
e039 ff18 143f
1591 648  f16b
150  1290 f6b9
9e1  ef88 f94e
1d9e 2000 e545
37f  f3d8 12ed
23bb 1ef8 873 
f1b4 eaa0 677 
ea4c ead0 fa64
249  ff48 11fb
214c 2590 86b 
f6b4 f230 2291
6b   228  19ab
d4ee dee0 f9ce
1b03 208  ea1f
f0fd dc28 26ce
13ea 10   1340
e5e3 418  ee21
21f9 2f28 d382
29fa fae0 18b0
cfaf fc18 eb84
e6ac f470 fd1d
fbcc ea20 1aad
cfd9 e538 f261
2772 1340 f523
9a9  4b8  ea93
34c  e7f0 5c1 
2ad2 920  75c 
ea85 f928 ede0
2d   f158 fad4
21df 1328 b79 
2ab8 3580 d47c
f35a fbe0 e6ae
156e 2aa0 da9d
1b03 2078 c37 
debd f668 2437
24e0 1f20 f39a
fa6c f8b0 f14c
f5c8 e0b0 27f3
daa1 e118 21bf
e152 f8c0 3a7 
d18a f4a0 fd15
d3c0 e8e0 fab 
1c05 f88  ddf2
1b30 fb50 a22 
15b2 1c60 d635
fd81 1348 f0a4
d3c  2200 d9f2
2c23 fb28 15ff
e4ca a80  f138
f5f4 6d0  100c
e1b7 da78 608 
25b  608  eecf
caab d368 4b9 
32ea 32a0 e4e4
129  198  28a 
2ee1 2e98 e562
14ad fc48 fa05
fef8 e10  732 
eac3 ed58 f13b
dd2f d488 923 
f583 258  f50f
d47d d5a8 2561
ccc  b80  bbf 
c58  10a0 e31e
e1c0 f8f0 f460
fb92 f540 1bf9
f9d0 f10  de30
1122 19f0 e2be
2734 2360 9bf 
152  2000 da49
f30e e500 528 
297b 3558 dc96
1aa4 1c30 e02 
e418 da40 85f 
eb07 9e8  e16a
3035 31b8 e1e6
ca43 d1e8 81a 
fe81 18   1297
18ee 1430 e8bc
17c  8b0  f008
f560 e660 3a0 
f26  10b0 db8 
f9e2 8f0  4e8 
d4c8 f680 ff95
f052 d920 2376
e78d 718  1224
f7c3 da38 2c49
f25d e168 149b
df9a f730 161 
fc64 e460 165a
297c 2f80 d4bd
db86 330  22  
29d3 1a08 f849
f87c f2b0 96c 
e7ce df00 aef 
1040 f620 f50a
f3bb ad8  ed1c
fd4d eba8 ef43
e8c8 8e0  e1d1
1ec2 20c0 eb93
37b1 35e8 f5c8
18c2 a30  e8dd
25ae 2fd0 daa3
205b 2a58 d715
ff73 e748 1354
204d 4c8  e8f0
fc9e 1410 e95c
e7c  fe30 b5f 
16b  f8b8 17c4
ca3a e440 f849
619  d58  1405
ec6f 1b8  1226
11d9 fdc8 f4f2
2093 1df8 ed3b
310c 18b0 f99b
f38  f2e0 f986
148f 2888 d2c1
30f4 16c0 142 
e1d6 40   65b 
126c 1f20 d900
e2ee fc60 a05 
dd68 dc70 2191
c1e  15e0 df78
2cd8 30c0 e2d5
2dfb 39b8 cdb4
f8be 930  1579
fdea b80  ff54
dcd3 d5c8 160d
fbda b60  f0db
2a20 29c0 fe9c
d3a2 da40 219a
2bc  c60  14f4
14c8 1c60 d22 
36b9 3128 edbb
53e  ea30 31e 
c3f  3f8  ed26
d5d8 e250 f89c
23f8 890  f32d
d83  1878 f0ec
f1f0 f140 b2  
f0ca fbd0 b77 
1334 e0   1329
ea86 1000 f402
21e3 f68  d904
2a98 3a20 cd08
16bf b08  da6a
f74a 3e0  e82f
3072 2f70 ecd1
925  708  629 
151f d88  e339
2c1e 13e0 fe23
1a56 12d0 f325
e5b4 edd0 fbf5
df2b f3f8 1e97
d7b8 ed70 fa3d
22f3 1308 f1f3
ef1a e60  f889
23a0 410  ef89
d2c2 e9e0 1079
7d7  138  e841
2a00 2130 e547
d2bf d338 29c6
b40  27c0 cdc4
501  2688 cf43
1162 e30  e04b
1a12 fb60 aaa 
c8de db10 8a  
fc6f e5f8 26ed
db42 dc00 1ec 
1f4a 11d0 f343
bf4  1f60 ef3d
a00  530  e547
34b  e0c8 22db
17d5 2b38 e3ca
2731 2538 fe0e
ff3f 3d8  136d
e7a6 670  113d
c9a5 c988 eb8 
258  190  ed0e
71c  1280 eea4
1cce 1540 edfa
2a64 fc70 f81 
d958 b10  e57f
fbd  2968 d13e
f4db df78 1c13
942  5d0  eee7
f487 e1f8 28a4
15d0 0    f832
d1b8 cea0 15dd
243c 2360 cf3f
d8f0 e260 181 
fa59 ab8  fe81
1e1  498  ef09
2b5d 27a8 fec8
16bc 2c90 d1ac
e96b d8a8 189f
fbc2 fc80 42  
d4a3 db38 1132
e754 d8a0 2a97
f5f1 f508 176c
967  f618 1136
1f4a 2160 e1dc
9f1  f88  f654
1d33 3398 cb45
1b42 f60  ddd5
e20  1d40 d27c
262f 2388 69e 
dd44 f220 f3cc
3a9  10d8 dfc8
e306 d790 c1d 
538  10f0 e246
631  2188 e3cf
eef7 ede8 17a6
12ee f810 ed34
1937 fa78 90  
2f9e 26e0 eb5b
f6a3 ffc8 eadf
2204 f950 35e 
27e6 1db0 c5d 
f9c7 578  d47 
fe1b f3a8 384 
2253 32f8 d41a
c816 cae0 1437
e15  f578 f169
ea3a d8f0 2bec
fdf5 f308 f845
f214 12c0 f58d
e6ff dd98 fbc5
ec0f ebb8 1583
287f 48   19de
fb96 610  fad3
df3d fda8 fde4
eb90 e400 5ad 
bd3  c68  e469
fa46 f600 1575
1ef4 26f0 ce31
1da9 1a98 f509
f25f ed98 1750
63a  f090 fa0b
d3d  fcd8 1d6a
2da5 1a8  17e5
dfb7 d7d8 23cc
ea5f 6c8  fde0
1fd  e3b8 19df
f7b5 ee08 a75 
2ada fa80 c4a 
e157 e5b8 f953
f716 e900 791 
2109 1ff8 35c 
f0d6 d9b0 17da
f263 e958 13e 
dc09 ea88 11ac
f2bc 990  f917
ef68 db90 299a
49e  18e0 e421
be9  f448 d12 
d206 e410 f719
d88b e658 1d82
1b0d 19b8 fbe3
d0   810  e73 
d9f  19f8 78d 
db3f ee18 ef93
221e 650  28f 
18a4 f5a0 35b 
2444 f400 1781
1733 f548 b14 
efc4 6f0  17e3
19e6 fa50 f734
f4dd efb8 1d1e
e115 d6c8 13d6
c9fe d110 46d 
2a2d 2fa8 df34
2274 2c30 d36c
ed4  f8e0 f0b9
1946 1650 fa8 
dc21 dfe8 1064
f5ae fda0 eb78
daa9 108  d7a 
187  f618 edeb
f0a2 dd30 1730
10db fb48 1d2b
eafc ef50 1238
f54  1330 e139
f522 de30 14b7
d21a ced0 2809
dbc0 da60 29a1
1c89 2f78 c929
e1a9 fb08 4f7 
b07  608  6fa 
e23  1f18 dde4
25fa f950 44a 
197a fb00 f06a
e33a d870 173d
e6b8 ed40 35e 
e5d  fa48 133a
2690 2310 371 
2072 2740 ff44
d775 e9e8 156b
1296 14a0 201 
104e 140  1c93
eace f610 e79b
da8c d870 f75f
f43a e760 9bc 
dcda e6e0 1354
f774 f560 559 
246f f638 1c3a
fbe1 f198 70c 
b8a  f610 eb4c
ebf1 fed8 fafd
fde9 eec8 f440
ca71 e478 fd76
f013 f9f8 17ee
1616 f7f0 c8f 
e210 e6c0 4d2 
4ed  e9b8 1f83
15c4 1040 12fd
1397 bb8  e0d0
dd8d f928 17f1
1ec1 8b8  f715
1da4 16d0 f654
dbd9 d978 f19 
9e7  658  1970
f3a0 5f0  ed7e
e4ef fac8 1387
eb10 e250 24d2
f37e 1290 f605
15bf 19a8 d684
bc9  f3c8 fdea
1809 2088 c28 
d3b3 ed18 9d8 
1b1b 2008 d833
ed4  790  fd16
968  7e0  223 
fac2 fed0 1c5c
eb0c d490 2d6f
f69d eed8 1f54
20a5 1d78 ff44
1011 f7d8 fa43
2088 980  ecf7
f92  de0  1c6 
9f1  1e48 f530
