======================================
Simulation clock rate =         100MHz
======================================

         in 08  out f8e2  expt f8e2
         in d8  out 0639  expt 0639
         in a4  out d81f  expt d81f
         in 47  out f0b8  expt f0b8
         in 36  out 005f  expt 005f
         in f2  out e5c0  expt e5c0
         in 34  out fbf0  expt fbf0
         in 98  out 10c3  expt 10c3
         in 76  out f5ee  expt f5ee
         in 0d  out 0d30  expt 0d30
         in 3d  out e182  expt e182
         in 14  out 3107  expt 3107
         in 23  out 1b28  expt 1b28
         in 48  out fe77  expt fe77
         in b0  out 0eae  expt 0eae
         in cd  out 0ae0  expt 0ae0
         in c8  out 0b2f  expt 0b2f
         in 2f  out db5e  expt db5e
         in ca  out e380  expt e380
         in 10  out 027d  expt 027d
         in eb  out 0fad  expt 0fad
         in ce  out fc48  expt fc48
         in f1  out 047b  expt 047b
         in 10  out f45c  expt f45c
         in fc  out ef60  expt ef60
         in 1b  out 0503  expt 0503
         in ea  out 07b9  expt 07b9
         in a1  out 01a8  expt 01a8
         in c1  out 052c  expt 052c
         in 89  out edf7  expt edf7
         in 7a  out e568  expt e568
         in 9d  out fe97  expt fe97
         in e0  out d32a  expt d32a
         in 25  out 0790  expt 0790
         in d9  out e7d1  expt e7d1
         in 0d  out f341  expt f341
         in db  out 0378  expt 0378
         in 10  out f5e5  expt f5e5
         in f9  out 03fd  expt 03fd
         in a9  out f918  expt f918
         in 1d  out 06ce  expt 06ce
         in ac  out facc  expt facc
         in 0e  out e7d0  expt e7d0
         in ca  out 12b0  expt 12b0
         in 5f  out dd96  expt dd96
         in 55  out f2d0  expt f2d0
         in 58  out fba2  expt fba2
         in 65  out 2e6f  expt 2e6f
         in 18  out 2748  expt 2748
         in 0a  out ff76  expt ff76
         in ab  out 2789  expt 2789
         in 27  out 1bc8  expt 1bc8
         in 30  out f293  expt f293
         in c3  out e627  expt e627
         in 9b  out f5a8  expt f5a8
         in 50  out 123c  expt 123c
         in b0  out e9c7  expt e9c7
         in ec  out d6e8  expt d6e8
         in da  out 2818  expt 2818
         in 56  out de66  expt de66
         in a3  out eab0  expt eab0
         in c3  out 033c  expt 033c
         in ad  out 164d  expt 164d
         in fa  out fd78  expt fd78
         in e1  out f0ed  expt f0ed
         in 01  out de92  expt de92
         in 00  out ed50  expt ed50
         in da  out 03ad  expt 03ad
         in 06  out fd8d  expt fd8d
         in 9e  out 0168  expt 0168
         in 05  out f65f  expt f65f
         in 1b  out fd3d  expt fd3d
         in 3b  out e8a8  expt e8a8
         in 0e  out 0c58  expt 0c58
         in d8  out 0e49  expt 0e49
         in 4d  out 1438  expt 1438
         in 17  out f8e0  expt f8e0
         in c4  out f713  expt f713
         in 2b  out 09c8  expt 09c8
         in 0d  out 0195  expt 0195
         in 49  out ed0d  expt ed0d
         in 63  out fd38  expt fd38
         in 63  out 05c7  expt 05c7
         in 91  out 27da  expt 27da
         in 4c  out 25a0  expt 25a0
         in 68  out 035a  expt 035a
         in 24  out e2af  expt e2af
         in aa  out f778  expt f778
         in cd  out 1f1b  expt 1f1b
         in aa  out 04df  expt 04df
         in c9  out f3f8  expt f3f8
         in 57  out f906  expt f906
         in 09  out e389  expt e389
         in 89  out dcb8  expt dcb8
         in b5  out 277f  expt 277f
         in 85  out f744  expt f744
         in db  out e690  expt e690
         in 1f  out fa80  expt fa80
         in 05  out d2a2  expt d2a2
         in 0b  out dae0  expt dae0
         in a7  out 1c16  expt 1c16
         in 52  out fbda  expt fbda
         in 88  out 06a0  expt 06a0
         in 86  out e7c6  expt e7c6
         in e0  out 0ed0  expt 0ed0
         in 1d  out f7c0  expt f7c0
         in 85  out e576  expt e576
         in 20  out ec95  expt ec95
         in 6a  out 0418  expt 0418
         in df  out e1dd  expt e1dd
         in 3a  out 0f39  expt 0f39
         in e5  out 2288  expt 2288
         in 7b  out e6ca  expt e6ca
         in 18  out 1d2d  expt 1d2d
         in 9c  out 0218  expt 0218
         in b8  out 1a8b  expt 1a8b
         in 4c  out fe18  expt fe18
         in 5e  out ee80  expt ee80
         in 3c  out f704  expt f704
         in 83  out 25cc  expt 25cc
         in 3d  out 2640  expt 2640
         in eb  out f9d2  expt f9d2
         in dc  out d364  expt d364
         in b4  out f490  expt f490
         in ae  out 037a  expt 037a
         in 93  out e866  expt e866
         in 9d  out e7b0  expt e7b0
         in a8  out f958  expt f958
         in 49  out cb9b  expt cb9b
         in 8a  out d228  expt d228
         in 4a  out 040a  expt 040a
         in 19  out 1a21  expt 1a21
         in e7  out f028  expt f028
         in ba  out 1761  expt 1761
         in ae  out 02b7  expt 02b7
         in 1d  out 0168  expt 0168
         in d4  out ee4e  expt ee4e
         in 1a  out dfe4  expt dfe4
         in 76  out f6b0  expt f6b0
         in e0  out fc0f  expt fc0f
         in af  out 0dba  expt 0dba
         in cc  out 2430  expt 2430
         in 8d  out e65c  expt e65c
         in a4  out d690  expt d690
         in 82  out e4e0  expt e4e0
         in 62  out f3fd  expt f3fd
         in 75  out de3e  expt de3e
         in 20  out c950  expt c950
         in 74  out 339e  expt 339e
         in 21  out 35c7  expt 35c7
         in 8a  out 1df8  expt 1df8
         in d9  out 0a0b  expt 0a0b
         in a5  out 02e6  expt 02e6
         in 9b  out eaf0  expt eaf0
         in b2  out 0049  expt 0049
         in 95  out d2eb  expt d2eb
         in 86  out d548  expt d548
         in 72  out 0476  expt 0476
         in 6b  out da15  expt da15
         in 68  out c688  expt c688
         in 5d  out 3911  expt 3911
         in a6  out 344c  expt 344c
         in ab  out 2e80  expt 2e80
         in 91  out fcdd  expt fcdd
         in 26  out d1b7  expt d1b7
         in 3c  out da88  expt da88
         in 9a  out fa25  expt fa25
         in a8  out 09d0  expt 09d0
         in 98  out 1a80  expt 1a80
         in 9f  out da56  expt da56
         in 86  out d275  expt d275
         in 43  out d5c8  expt d5c8
         in 74  out ffb0  expt ffb0
         in 87  out df00  expt df00
         in 25  out f270  expt f270
         in 9b  out 249d  expt 249d
         in ed  out cda0  expt cda0
         in cf  out f1f0  expt f1f0
         in 84  out f1de  expt f1de
         in 62  out ed11  expt ed11
         in 42  out f378  expt f378
         in 02  out e962  expt e962
         in aa  out 2820  expt 2820
         in 43  out 25e0  expt 25e0
         in 61  out ebe0  expt ebe0
         in ff  out eaf3  expt eaf3
         in 60  out fae8  expt fae8
         in 3c  out 1b39  expt 1b39
         in bc  out 0955  expt 0955
         in 8d  out 15e8  expt 15e8
         in 1b  out 0381  expt 0381
         in 60  out e27b  expt e27b
         in 01  out d388  expt d388
         in 2d  out 1d71  expt 1d71
         in 7d  out 2705  expt 2705
         in 1a  out 13d8  expt 13d8
         in ff  out fec1  expt fec1
         in 16  out 2fbc  expt 2fbc
         in 65  out 21e0  expt 21e0
         in 8b  out ec7d  expt ec7d
         in 62  out 0501  expt 0501
         in 9b  out 21b8  expt 21b8
         in 05  out d3af  expt d3af
         in 14  out 1f37  expt 1f37
         in 82  out fc08  expt fc08
         in e3  out 00d9  expt 00d9
         in fa  out fe61  expt fe61
         in b1  out e5c8  expt e5c8
         in 02  out 056e  expt 056e
         in 46  out f99a  expt f99a
         in da  out eae0  expt eae0
         in 32  out 0ad7  expt 0ad7
         in 69  out 1b9c  expt 1b9c
         in 2b  out 0440  expt 0440
         in 34  out 0814  expt 0814
         in ed  out 2d2d  expt 2d2d
         in 85  out 2018  expt 2018
         in b6  out fa42  expt fa42
         in 72  out ecbb  expt ecbb
         in 00  out df68  expt df68
         in b1  out fed8  expt fed8
         in 25  out 2471  expt 2471
         in a0  out 1b68  expt 1b68
         in c3  out dd8e  expt dd8e
         in d6  out 03f4  expt 03f4
         in 34  out f200  expt f200
         in 89  out f79b  expt f79b
         in 74  out ea6d  expt ea6d
         in 41  out 0788  expt 0788
         in 5f  out e15e  expt e15e
         in 22  out 35a7  expt 35a7
         in be  out 26a8  expt 26a8
         in 22  out 00ed  expt 00ed
         in 59  out 0b88  expt 0b88
         in bc  out f5e0  expt f5e0
         in 38  out 0c1c  expt 0c1c
         in d6  out 2177  expt 2177
         in 8c  out 00b8  expt 00b8
         in fc  out 0ac3  expt 0ac3
         in 65  out e9c6  expt e9c6
         in be  out d9f0  expt d9f0
         in 07  out 1276  expt 1276
         in fe  out 2264  expt 2264
         in 5a  out 0560  expt 0560
         in d8  out fcb9  expt fcb9
         in 9f  out 0136  expt 0136
         in b7  out 1750  expt 1750
         in 9d  out eb5c  expt eb5c
         in dc  out d0aa  expt d0aa
         in b4  out dba0  expt dba0
         in ef  out fc98  expt fc98
         in 54  out ed39  expt ed39
         in 02  out e5a8  expt e5a8
         in 51  out 0998  expt 0998
         in e9  out 254b  expt 254b
         in 5e  out 1058  expt 1058
         in 36  out 092e  expt 092e
         in 24  out 009d  expt 009d
         in 14  out 10c8  expt 10c8
         in 74  out 0515  expt 0515
         in f6  out 1710  expt 1710
         in 05  out 0940  expt 0940
         in db  out 15f0  expt 15f0
         in d3  out f9d1  expt f9d1
         in 82  out 0038  expt 0038
         in 7a  out f76f  expt f76f
         in ee  out f177  expt f177
         in ac  out d2d8  expt d2d8
         in a8  out 338f  expt 338f
         in 08  out ee32  expt ee32
         in 14  out e9d0  expt e9d0
         in d0  out f67e  expt f67e
         in d7  out 0080  expt 0080
         in a8  out 0840  expt 0840
         in ef  out f08c  expt f08c
         in be  out eab6  expt eab6
         in b3  out e190  expt e190
         in 38  out 0bb1  expt 0bb1
         in b8  out e774  expt e774
         in b1  out dc90  expt dc90
         in ec  out 1fd5  expt 1fd5
         in 46  out df7a  expt df7a
         in 54  out dd20  expt dd20
         in be  out 0dd9  expt 0dd9
         in 81  out 19ac  expt 19ac
         in 03  out 2660  expt 2660
         in d8  out dc4e  expt dc4e
         in 95  out ce11  expt ce11
         in 34  out e638  expt e638
         in c2  out 0602  expt 0602
         in d9  out d689  expt d689
         in 09  out f788  expt f788
         in 5e  out f7ff  expt f7ff
         in cd  out f8ff  expt f8ff
         in 94  out f6c8  expt f6c8
         in f4  out 1b70  expt 1b70
         in e0  out e647  expt e647
         in f6  out da38  expt da38
         in 54  out 10a7  expt 10a7
         in 86  out f9d0  expt f9d0
         in 67  out f3e0  expt f3e0
         in b2  out 1a56  expt 1a56
         in 22  out d292  expt d292
         in a1  out 0180  expt 0180
         in bc  out efc1  expt efc1
         in 19  out 0260  expt 0260
         in 25  out f1d0  expt f1d0
         in 56  out f61f  expt f61f
         in 57  out 11af  expt 11af
         in a8  out 0c08  expt 0c08
         in b6  out 0dcc  expt 0dcc
         in 1f  out 15fb  expt 15fb
         in ef  out ff58  expt ff58
         in 11  out ecf1  expt ecf1
         in 96  out 0bd6  expt 0bd6
         in e1  out 0200  expt 0200
         in 39  out 0250  expt 0250
         in 02  out db33  expt db33
         in 4b  out df48  expt df48
         in 62  out 1fab  expt 1fab
         in 99  out 0c1e  expt 0c1e
         in 29  out 1020  expt 1020
         in 0c  out 0f29  expt 0f29
         in 3a  out dce9  expt dce9
         in f3  out f358  expt f358
         in 57  out 0b50  expt 0b50
         in 46  out 1b45  expt 1b45
         in e2  out 06b8  expt 06b8
         in 55  out 0fd9  expt 0fd9
         in 20  out 1ea5  expt 1ea5
         in 1e  out 0528  expt 0528
         in f0  out 0fdc  expt 0fdc
         in b9  out 0c54  expt 0c54
         in be  out 0f00  expt 0f00
         in fe  out f43e  expt f43e
         in 1f  out e1e5  expt e1e5
         in 92  out e008  expt e008
         in a2  out 10a5  expt 10a5
         in 8f  out fe83  expt fe83
         in 38  out ee38  expt ee38
         in 59  out f1d3  expt f1d3
         in 79  out dfbc  expt dfbc
         in 28  out f280  expt f280
         in 75  out 1e09  expt 1e09
         in d9  out 37c6  expt 37c6
         in 13  out 20d0  expt 20d0
         in 24  out 08cf  expt 08cf
         in 75  out f53d  expt f53d
         in 6d  out fb18  expt fb18
         in ef  out 0bba  expt 0bba
         in 16  out 301e  expt 301e
         in 59  out 3560  expt 3560
         in e8  out df78  expt df78
         in cb  out 0b40  expt 0b40
         in 58  out 1bd0  expt 1bd0
         in 26  out ec63  expt ec63
         in 66  out f3f7  expt f3f7
         in 18  out 0938  expt 0938
         in e3  out 05ad  expt 05ad
         in f8  out 2503  expt 2503
         in b0  out 1d38  expt 1d38
         in a0  out e8b2  expt e8b2
         in f7  out f188  expt f188
         in 31  out ed40  expt ed40
         in 7e  out f2b8  expt f2b8
         in 39  out 08b1  expt 08b1
         in 7a  out 0658  expt 0658
         in 2b  out 1aba  expt 1aba
         in 38  out 1f04  expt 1f04
         in e0  out 29a0  expt 29a0
         in 95  out f4a1  expt f4a1
         in 8c  out 0b17  expt 0b17
         in 86  out 0798  expt 0798
         in 0d  out e1e8  expt e1e8
         in 7c  out cf3f  expt cf3f
         in d7  out c7b8  expt c7b8
         in 57  out 20fa  expt 20fa
         in a1  out 323b  expt 323b
         in e1  out 0e28  expt 0e28
         in 4a  out 0abb  expt 0abb
         in 98  out e08b  expt e08b
         in 41  out e128  expt e128
         in 05  out 2280  expt 2280
         in a7  out dd55  expt dd55
         in 5a  out f958  expt f958
         in 74  out 06c9  expt 06c9
         in e0  out ec81  expt ec81
         in 03  out ff68  expt ff68
         in 9e  out 1d93  expt 1d93
         in 5e  out ed04  expt ed04
         in 57  out fcd0  expt fcd0
         in 26  out eb43  expt eb43
         in 7a  out 2a76  expt 2a76
         in 77  out 2920  expt 2920
         in 00  out f2d9  expt f2d9
         in a4  out 33c8  expt 33c8
         in cc  out 3870  expt 3870
         in 07  out e1dd  expt e1dd
         in 5e  out db89  expt db89
         in 3c  out dea8  expt dea8
         in 42  out 13e8  expt 13e8
         in cc  out 2b10  expt 2b10
         in 16  out 2180  expt 2180
         in 96  out fd1e  expt fd1e
         in e3  out e60a  expt e60a
         in 9f  out fd70  expt fd70
         in 18  out e98a  expt e98a
         in 04  out f1b7  expt f1b7
         in cd  out e0a8  expt e0a8
         in 68  out 157c  expt 157c
         in 2c  out 066a  expt 066a
         in 49  out f0e0  expt f0e0
         in 6d  out 1fa9  expt 1fa9
         in 49  out 1c69  expt 1c69
         in dd  out 1878  expt 1878
         in 0f  out 0cbd  expt 0cbd
         in e1  out 1a4a  expt 1a4a
         in 47  out 06c0  expt 06c0
         in 3f  out fe94  expt fe94
         in 20  out fd0e  expt fd0e
         in bf  out 0900  expt 0900
         in 50  out 0b26  expt 0b26
         in 83  out 0e42  expt 0e42
         in f7  out f440  expt f440
         in f2  out 17bf  expt 17bf
         in ff  out d015  expt d015
         in d3  out e2d8  expt e2d8
         in bf  out 0db4  expt 0db4
         in f2  out f858  expt f858
         in e4  out f690  expt f690
         in 6a  out f554  expt f554
         in 61  out 0124  expt 0124
         in 00  out f2a0  expt f2a0
         in b5  out 1fb2  expt 1fb2
         in 69  out 1e6e  expt 1e6e
         in b0  out 1790  expt 1790
         in ad  out e0bf  expt e0bf
         in 40  out 1c6e  expt 1c6e
         in 5c  out 0590  expt 0590
         in 51  out e767  expt e767
         in 56  out 22cb  expt 22cb
         in 6d  out 2278  expt 2278
         in da  out 00dc  expt 00dc
         in 73  out 230e  expt 230e
         in d6  out 2f40  expt 2f40
         in 2f  out de37  expt de37
         in 5a  out 2bde  expt 2bde
         in ec  out 0d30  expt 0d30
         in 27  out 0203  expt 0203
         in bf  out 2333  expt 2333
         in 8a  out 0d78  expt 0d78
         in e4  out 0092  expt 0092
         in 1f  out df59  expt df59
         in ec  out d528  expt d528
         in 43  out 0fab  expt 0fab
         in 8d  out 0f62  expt 0f62
         in 11  out ffb0  expt ffb0
         in e9  out 0f2d  expt 0f2d
         in 80  out d48c  expt d48c
         in 0e  out ebd0  expt ebd0
         in 78  out 0704  expt 0704
         in 63  out da2c  expt da2c
         in 56  out e3c0  expt e3c0
         in 43  out 2cce  expt 2cce
         in 77  out 2e6a  expt 2e6a
         in 42  out 2910  expt 2910
         in 5f  out f993  expt f993
         in 4e  out 36d2  expt 36d2
         in 59  out 2790  expt 2790
         in dc  out 006b  expt 006b
         in 9c  out 1f24  expt 1f24
         in ad  out 2870  expt 2870
         in c6  out e22b  expt e22b
         in 0e  out d20c  expt d20c
         in 39  out d730  expt d730
         in e0  out 0871  expt 0871
         in f8  out 05f0  expt 05f0
         in f4  out 1250  expt 1250
         in 31  out ef4b  expt ef4b
         in 33  out 0003  expt 0003
         in 8e  out f9b8  expt f9b8
         in b0  out 0ebc  expt 0ebc
         in 4c  out 06c1  expt 06c1
         in ce  out f128  expt f128
         in 51  out f33b  expt f33b
         in 07  out 1f7b  expt 1f7b
         in 68  out 0198  expt 0198
         in a0  out 1082  expt 1082
         in 86  out 0129  expt 0129
         in 3d  out 1e88  expt 1e88
         in 92  out da81  expt da81
         in 36  out cde6  expt cde6
         in 1b  out f800  expt f800
         in f2  out ecd7  expt ecd7
         in d3  out 147a  expt 147a
         in 21  out 1300  expt 1300
         in 65  out f245  expt f245
         in 71  out f89a  expt f89a
         in 3d  out fb40  expt fb40
         in f9  out 1b0e  expt 1b0e
         in 93  out 2cc0  expt 2cc0
         in 33  out 2830  expt 2830
         in 28  out e84c  expt e84c
         in 9d  out dd4f  expt dd4f
         in aa  out f3a8  expt f3a8
         in ff  out 11e0  expt 11e0
         in 0e  out d67c  expt d67c
         in c2  out d4e0  expt d4e0
         in 2c  out 16ed  expt 16ed
         in 6f  out 0512  expt 0512
         in 0e  out f230  expt f230
         in 6e  out 10b4  expt 10b4
         in 31  out 321f  expt 321f
         in 44  out 1858  expt 1858
         in 87  out 0b7f  expt 0b7f
         in 74  out 0cec  expt 0cec
         in 1d  out 1f80  expt 1f80
         in 51  out d333  expt d333
         in bd  out 32a5  expt 32a5
         in 83  out 1e18  expt 1e18
         in b9  out 01c9  expt 01c9
         in 5e  out db08  expt db08
         in 09  out d450  expt d450
         in f4  out 0606  expt 0606
         in d5  out 227c  expt 227c
         in d5  out 1730  expt 1730
         in 89  out efcb  expt efcb
         in d3  out e4dc  expt e4dc
         in 40  out ef90  expt ef90
         in 9b  out ed00  expt ed00
         in c5  out eb4e  expt eb4e
         in 55  out 0950  expt 0950
         in 41  out e4cd  expt e4cd
         in e1  out f394  expt f394
         in 47  out 0650  expt 0650
         in 3d  out 0d90  expt 0d90
         in 44  out fce8  expt fce8
         in 4d  out 0910  expt 0910
         in 96  out 0aa6  expt 0aa6
         in 60  out 1594  expt 1594
         in 05  out 2570  expt 2570
         in 50  out d369  expt d369
         in 96  out 29d6  expt 29d6
         in c2  out 13c0  expt 13c0
         in e0  out 0705  expt 0705
         in ff  out d2e6  expt d2e6
         in b9  out da50  expt da50
         in 84  out 0d2c  expt 0d2c
         in 84  out f28b  expt f28b
         in 50  out f1e8  expt f1e8
         in 05  out e9ba  expt e9ba
         in 1f  out d6bb  expt d6bb
         in ca  out f8b8  expt f8b8
         in 04  out 078c  expt 078c
         in 60  out 08d9  expt 08d9
         in 1c  out f928  expt f928
         in d2  out 038b  expt 038b
         in 27  out 21be  expt 21be
         in 19  out 1d70  expt 1d70
         in c9  out e4bc  expt e4bc
         in 36  out 0bc2  expt 0bc2
         in 6e  out 1080  expt 1080
         in 2d  out ea32  expt ea32
         in 1b  out 1d65  expt 1d65
         in 80  out 25e8  expt 25e8
         in 58  out f6f8  expt f6f8
         in 36  out 098d  expt 098d
         in 46  out e328  expt e328
         in 92  out 2205  expt 2205
         in 5f  out 0fb4  expt 0fb4
         in 87  out 20c0  expt 20c0
         in 1c  out d510  expt d510
         in 50  out 1eb7  expt 1eb7
         in 20  out f5a8  expt f5a8
         in 65  out 0968  expt 0968
         in eb  out 26ef  expt 26ef
         in 26  out 1658  expt 1658
         in bc  out 0b10  expt 0b10
         in d3  out f53d  expt f53d
         in c6  out 0708  expt 0708
         in c0  out ed1b  expt ed1b
         in 61  out e761  expt e761
         in f9  out e9a8  expt e9a8
         in f7  out fcd3  expt fcd3
         in 91  out 22f2  expt 22f2
         in 41  out 13c0  expt 13c0
         in 87  out f218  expt f218
         in 9a  out d162  expt d162
         in 7a  out fbc0  expt fbc0
         in dd  out e830  expt e830
         in 1b  out de39  expt de39
         in 09  out 0948  expt 0948
         in 2d  out f5a0  expt f5a0
         in f2  out 0dda  expt 0dda
         in 24  out 06c0  expt 06c0
         in 20  out 06ae  expt 06ae
         in a4  out ff26  expt ff26
         in e1  out 04f0  expt 04f0
         in 2c  out 0572  expt 0572
         in 02  out df6e  expt df6e
         in 47  out e2c0  expt e2c0
         in f1  out 1a9d  expt 1a9d
         in 0f  out 0383  expt 0383
         in 6f  out 12a8  expt 12a8
         in 0e  out f365  expt f365
         in 3f  out 0cad  expt 0cad
         in 0f  out 1e98  expt 1e98
         in 3c  out f420  expt f420
         in 45  out 1ca7  expt 1ca7
         in af  out 0fa8  expt 0fa8
         in 42  out 0510  expt 0510
         in 18  out 1a13  expt 1a13
         in 40  out f8c8  expt f8c8
         in bb  out 116a  expt 116a
         in 4d  out 0749  expt 0749
         in 23  out 1768  expt 1768
         in 9f  out e3e8  expt e3e8
         in 7d  out 174a  expt 174a
         in e8  out 1ca0  expt 1ca0
         in 74  out d996  expt d996
         in 6c  out 35af  expt 35af
         in c4  out 11b8  expt 11b8
         in 20  out 0fcb  expt 0fcb
         in 35  out 272c  expt 272c
         in c3  out 07a0  expt 07a0
         in 86  out 0158  expt 0158
         in d3  out 0747  expt 0747
         in 4d  out 0028  expt 0028
         in 3a  out e20e  expt e20e
         in 9f  out f7d1  expt f7d1
         in 58  out 0798  expt 0798
         in 5a  out 0afa  expt 0afa
         in cf  out e77f  expt e77f
         in 18  out fdf8  expt fdf8
         in d2  out 1859  expt 1859
         in e8  out ebb7  expt ebb7
         in 7a  out fcb8  expt fcb8
         in e6  out f7e9  expt f7e9
         in 21  out fbd6  expt fbd6
         in a0  out 1a10  expt 1a10
         in 37  out edd2  expt edd2
         in 61  out 0b14  expt 0b14
         in e8  out ed80  expt ed80
         in 71  out 151f  expt 151f
         in ae  out 2b12  expt 2b12
         in 6b  out 0bb0  expt 0bb0
         in aa  out 12a7  expt 12a7
         in 55  out e10a  expt e10a
         in 3a  out 0b80  expt 0b80
         in 7b  out e81d  expt e81d
         in 64  out 2bd8  expt 2bd8
         in c7  out 1d40  expt 1d40
         in 7f  out 0cc5  expt 0cc5
         in 7e  out 2b6b  expt 2b6b
         in b0  out 03a8  expt 03a8
         in 83  out 19c3  expt 19c3
         in 4d  out 211b  expt 211b
         in e0  out 0b78  expt 0b78
         in d8  out da32  expt da32
         in a6  out 17db  expt 17db
         in 08  out 0a18  expt 0a18
         in 8c  out eff3  expt eff3
         in e0  out d66e  expt d66e
         in ca  out f1f0  expt f1f0
         in 4e  out eda2  expt eda2
         in 42  out f6f6  expt f6f6
         in ee  out e910  expt e910
         in 31  out 1e2a  expt 1e2a
         in 08  out 1b25  expt 1b25
         in 23  out 0868  expt 0868
         in 1f  out 05ec  expt 05ec
         in 9c  out 072f  expt 072f
         in ad  out 0988  expt 0988
         in b8  out 027b  expt 027b
         in 22  out d102  expt d102
         in df  out d7a0  expt d7a0
